rank,entry,origin,package,n_lines,stdin,want_rc,modes,heap_kb,stack_kb
255,iso7185prt1502,pat__iso7185prt1502,pat,15,0,0,"m3,m4",,
256,iso7185prt1503,pat__iso7185prt1503,pat,15,0,0,"m3,m4",,
257,iso7185prt1504,pat__iso7185prt1504,pat,16,0,0,"m3,m4",,
258,iso7185prt1505,pat__iso7185prt1505,pat,15,0,0,"m3,m4",,
259,iso7185prt1506,pat__iso7185prt1506,pat,15,0,0,"m3,m4",,
260,iso7185prt1507,pat__iso7185prt1507,pat,15,0,0,"m3,m4",,
261,iso7185prt1508,pat__iso7185prt1508,pat,16,0,0,"m3,m4",,
262,iso7185prt1600,pat__iso7185prt1600,pat,13,0,0,"m3,m4",,
263,iso7185prt1620,pat__iso7185prt1620,pat,13,0,0,"m3,m4",,
264,iso7185prt1621,pat__iso7185prt1621,pat,13,0,0,"m3,m4",,
265,iso7185prt1701,pat__iso7185prt1701,pat,20,0,0,"m3,m4",,
266,iso7185prt1702A,pat__iso7185prt1702A,pat,34,0,0,"m3,m4",,
267,iso7185prt1702b,pat__iso7185prt1702b,pat,47,0,0,"m3,m4",,
268,iso7185prt1702c,pat__iso7185prt1702c,pat,38,0,0,"m3,m4",,
269,iso7185prt1702d,pat__iso7185prt1702d,pat,48,0,0,"m3,m4",,
270,iso7185prt1703,pat__iso7185prt1703,pat,21,0,0,"m3,m4",,
271,iso7185prt1704,pat__iso7185prt1704,pat,19,0,0,"m3,m4",,
272,iso7185prt1705,pat__iso7185prt1705,pat,32,0,0,"m3,m4",,
273,iso7185prt1706a,pat__iso7185prt1706a,pat,31,0,0,"m3,m4",,
274,iso7185prt1706b,pat__iso7185prt1706b,pat,31,0,0,"m3,m4",,
275,iso7185prt1707a,pat__iso7185prt1707a,pat,25,0,0,"m3,m4",,
276,iso7185prt1707b,pat__iso7185prt1707b,pat,29,0,0,"m3,m4",,
277,iso7185prt1708,pat__iso7185prt1708,pat,28,0,0,"m3,m4",,
278,iso7185prt1709,pat__iso7185prt1709,pat,24,0,0,"m3,m4",,
279,iso7185prt1710,pat__iso7185prt1710,pat,18,0,0,"m3,m4",,
280,iso7185prt1712,pat__iso7185prt1712,pat,19,0,0,"m3,m4",,
281,iso7185prt1713,pat__iso7185prt1713,pat,18,0,0,"m3,m4",,
282,iso7185prt1714,pat__iso7185prt1714,pat,20,0,0,"m3,m4",,
283,iso7185prt1715,pat__iso7185prt1715,pat,18,0,0,"m3,m4",,
284,iso7185prt1716,pat__iso7185prt1716,pat,23,0,0,"m3,m4",,
285,iso7185prt1717,pat__iso7185prt1717,pat,22,0,0,"m3,m4",,
286,iso7185prt1718,pat__iso7185prt1718,pat,20,0,0,"m3,m4",,
287,iso7185prt1719,pat__iso7185prt1719,pat,28,0,0,"m3,m4",,
288,iso7185prt1720,pat__iso7185prt1720,pat,25,0,0,"m3,m4",,
289,iso7185prt1721,pat__iso7185prt1721,pat,34,0,0,"m3,m4",,
290,iso7185prt1722,pat__iso7185prt1722,pat,27,0,0,"m3,m4",,
291,iso7185prt1723,pat__iso7185prt1723,pat,19,0,0,"m3,m4",,
292,iso7185prt1724,pat__iso7185prt1724,pat,18,0,0,"m3,m4",,
293,iso7185prt1726,pat__iso7185prt1726,pat,23,0,0,"m3,m4",,
294,iso7185prt1727,pat__iso7185prt1727,pat,19,0,0,"m3,m4",,
295,iso7185prt1728,pat__iso7185prt1728,pat,21,0,0,"m3,m4",,
296,iso7185prt1729,pat__iso7185prt1729,pat,22,0,0,"m3,m4",,
297,iso7185prt1730,pat__iso7185prt1730,pat,19,0,0,"m3,m4",,
298,iso7185prt1731,pat__iso7185prt1731,pat,19,0,0,"m3,m4",,
299,iso7185prt1732,pat__iso7185prt1732,pat,19,0,0,"m3,m4",,
300,iso7185prt1733,pat__iso7185prt1733,pat,19,0,0,"m3,m4",,
301,iso7185prt1734,pat__iso7185prt1734,pat,19,0,0,"m3,m4",,
302,iso7185prt1735,pat__iso7185prt1735,pat,25,0,0,"m3,m4",,
303,iso7185prt1736,pat__iso7185prt1736,pat,25,0,0,"m3,m4",,
304,iso7185prt1737,pat__iso7185prt1737,pat,22,0,0,"m3,m4",,
305,iso7185prt1738,pat__iso7185prt1738,pat,20,0,0,"m3,m4",,
306,iso7185prt1739,pat__iso7185prt1739,pat,25,0,0,"m3,m4",,
307,iso7185prt1740,pat__iso7185prt1740,pat,18,0,0,"m3,m4",,
308,iso7185prt1741,pat__iso7185prt1741,pat,18,0,0,"m3,m4",,
309,iso7185prt1743,pat__iso7185prt1743,pat,21,0,0,"m3,m4",,
310,iso7185prt1744,pat__iso7185prt1744,pat,22,0,0,"m3,m4",,
311,iso7185prt1745,pat__iso7185prt1745,pat,20,0,0,"m3,m4",,
312,iso7185prt1746A,pat__iso7185prt1746A,pat,27,0,0,"m3,m4",,
