name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
scanner-behavior.sno	OK	OK	NO_ORACLE			
special-patterns.sno	OK	OK	NO_ORACLE			
square-array-pattern.sno	OK	OK	NO_ORACLE			
stack-opsyn.sno	OK	OK	NO_ORACLE			
statements.sno	OK	OK	NO_ORACLE			
stlimit-host-option.sno	OK	OK	NO_ORACLE			
stlimit-negative-stcount.sno	OK	OK	NO_ORACLE			
stlimit-nonnegative.sno	OK	ERR	NO_ORACLE		rc=1 stlimit-nonnegative.sno:5: Error 22 in statement 2 at level 0	
stop-tracing.sno	OK	OK	NO_ORACLE			
string-functions.sno	OK	OK	NO_ORACLE			
string-pad.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
string-reverse.sno	OK	OK	NO_ORACLE			
strings-and-variables.sno	OK	OK	NO_ORACLE			
string-substr.sno	OK	OK	NO_ORACLE			
succeed-rematch.sno	OK	OK	NO_ORACLE			
syntactic-recognizer.sno	OK	OK	NO_ORACLE			
topological-sort.sno	OK	ERR	NO_ORACLE		rc=1 topological-sort.sno:38: Error 3 in statement 19 at level 0	
tower-of-hanoi.sno	OK	OK	NO_ORACLE			
trace-all-functions.sno	OK	OK	NO_ORACLE			
trace-function-calls.sno	OK	OK	NO_ORACLE			
trace-keyword-fnclevel.sno	OK	OK	NO_ORACLE			
trace-label-flow.sno	OK	OK	NO_ORACLE			
trace-procedure.sno	OK	OK	NO_ORACLE			
trace-value-watch.sno	OK	OK	NO_ORACLE			
twelve-days.sno	OK	OK	NO_ORACLE			
unary-plus-minus-conversion.sno	OK	OK	NO_ORACLE			
unevaluated-common-characters.sno	OK	ERR	NO_ORACLE		rc=1 unevaluated-common-characters.sno:11: Error 24 in statement 5 at level 0	
unevaluated-common-words.sno	OK	ERR	NO_ORACLE		rc=1 unevaluated-common-words.sno:13: Error 24 in statement 5 at level 0	
unevaluated-pair-backreference.sno	OK	OK	NO_ORACLE			
unload-builtin.sno	OK	OK	NO_ORACLE			
value-trace-during-match.sno	OK	OK	NO_ORACLE			
wang-theorem-prover.sno	OK	OK	NO_ORACLE			
word-count-table-convert.sno	OK	ERR	NO_ORACLE		rc=1 word-count-table-convert.sno:58: Error 25 in statement 18 at level 0	
word-ending-analysis.sno	OK	OK	NO_ORACLE			
words-of-length.sno	OK	OK	NO_ORACLE			
