name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
RSEASON_lib_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 4 at level 2	
RSEASON_lib.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RSEASON_lib.sno:45: Error 32 in statement 0 at level 0	
RSEASON.sno	OK	OK	NO_ORACLE			
RSELECT_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 21 at level 2	
RSELECT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RSELECT.sno:33: Error 32 in statement 0 at level 0	
RSENTENC_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 33 at level 3	
RSENTENC.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RSENTENC.sno:29: Error 32 in statement 0 at level 0	
RSTORY_driver.sno	OK	OK	NO_ORACLE			
RSTORY.sno	OK	OK	NO_ORACLE			
RWORD_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 4 at level 3	
RWORD.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RWORD.sno:21: Error 32 in statement 0 at level 0	
SEQ_driver.sno	OK	OK	NO_ORACLE			
SEQ.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SEQ.sno:16: Error 32 in statement 0 at level 0	
SKIM_driver.sno	OK	OK	NO_ORACLE			
SKIM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SKIM.sno:11: Error 32 in statement 0 at level 0	
SNOPUT_driver.sno	OK	ERR	NO_ORACLE		rc=1 SNOPUT.sno:10: Error 24 in statement 40 at level 1	
SNOPUT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SNOPUT.sno:11: Error 32 in statement 0 at level 0	
SNOREAD_driver.sno	OK	OK	NO_ORACLE			
SNOREAD.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SNOREAD.sno:21: Error 32 in statement 0 at level 0	
SPACING_driver.sno	OK	OK	NO_ORACLE			
SPACING.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SPACING.sno:15: Error 32 in statement 0 at level 0	
SPELL_driver.sno	OK	OK	NO_ORACLE			
SPELL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SPELL.sno:29: Error 32 in statement 0 at level 0	
SQRT_driver.sno	OK	OK	NO_ORACLE			
SQRT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SQRT.sno:24: Error 32 in statement 0 at level 0	
SSORT_driver.sno	OK	OK	NO_ORACLE			
SSORT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SSORT.sno:11: Error 32 in statement 0 at level 0	
STACK_driver.sno	OK	OK	NO_ORACLE			
STACK.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 STACK.sno:20: Error 32 in statement 0 at level 0	
STATEF_driver.sno	OK	OK	NO_ORACLE			
STATEF.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 STATEF.sno:19: Error 32 in statement 0 at level 0	
STONE_driver.sno	OK	OK	NO_ORACLE			
STONE.sno	OK	OK	NO_ORACLE			
STRINGOU_driver.sno	OK	OK	NO_ORACLE			
STRINGOU.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 STRINGOU.sno:10: Error 32 in statement 0 at level 0	
stringout.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 stringout.sno:10: Error 32 in statement 0 at level 0	
SUBSTR_driver.sno	OK	OK	NO_ORACLE			
SUBSTR.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SUBSTR.sno:7: Error 32 in statement 0 at level 0	
SWAP_driver.sno	OK	OK	NO_ORACLE			
SWAP.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SWAP.sno:9: Error 32 in statement 0 at level 0	
SYSTEM_driver.sno	OK	OK	NO_ORACLE			
SYSTEM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 SYSTEM.sno:23: Error 32 in statement 0 at level 0	
TEMP_driver.sno	OK	OK	NO_ORACLE			
